product_key,product_title,product_page,file_url,final_url,status,content_type,bytes_count,reason
site,CDN LIGHTING - CDN LIGHT,https://www.cdnlight.com/Download/index.aspx,https://www.cdnlight.com/uploadfiles/2023/08/20230831145848718.pdf,https://www.cdnlight.com/uploadfiles/2023/08/20230831145848718.pdf,200,application/pdf,372213494,larger than 95MB limit
site,CDN LIGHTING - CDN LIGHT,https://www.cdnlight.com/Download/index.aspx,https://www.cdnlight.com/uploadfiles/2024/06/20240626174653972.zip,https://www.cdnlight.com/uploadfiles/2024/06/20240626174653972.zip,200,application/x-zip-compressed,204228758,larger than 95MB limit
site,CDN LIGHTING - CDN LIGHT,https://www.cdnlight.com/Download/index.aspx,https://www.cdnlight.com/uploadfiles/图册/20240116172422026.pdf,https://www.cdnlight.com/uploadfiles/%E5%9B%BE%E5%86%8C/20240116172422026.pdf,200,application/pdf,112956548,larger than 95MB limit
