product_key,product_title,product_page,file_url,file_type
site,CDN LIGHTING - CDN LIGHT,https://www.cdnlight.com/Download/index.aspx,https://www.cdnlight.com/uploadfiles/2023/08/20230831145848718.pdf,pdf
site,CDN LIGHTING - CDN LIGHT,https://www.cdnlight.com/Download/index.aspx,https://www.cdnlight.com/uploadfiles/2024/06/20240626174653972.zip,archive
site,CDN LIGHTING - CDN LIGHT,https://www.cdnlight.com/Download/index.aspx,https://www.cdnlight.com/uploadfiles/图册/20240116172422026.pdf,pdf
